Zipcode,Food_Stamp,With_Health_Coverage,With_Private_Insurance,With_public_coverage,No_health_insurance_coverage,Below_Poverty_Level
ZCTA5 10279,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 10280,0.7,96.6,95.1,2.3,3.4,4.3
ZCTA5 10282,1.4,98.2,97.5,0.6,1.8,2.9
ZCTA5 10301,19.5,87.1,76.6,13.6,12.9,2.9
ZCTA5 10302,21.9,83.8,75.5,10.8,16.2,4.1
ZCTA5 10303,26.7,87,78.6,10.3,13,3.2
ZCTA5 10304,22.4,82,68.5,14.5,18,3.2
ZCTA5 10305,13.8,89.1,82.4,8.4,10.9,2
ZCTA5 10306,8.8,93.9,88,6.9,6.1,1.5
ZCTA5 10307,5.3,94.6,91.3,4.1,5.4,2.6
ZCTA5 10308,5.7,94.3,90.5,4.7,5.7,2.1
ZCTA5 10309,6.3,95.1,90.2,6,4.9,2.3
ZCTA5 10310,22.4,85.3,76.3,10.9,14.7,3.8
ZCTA5 10311,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 10312,4.3,95.6,91.9,4.9,4.4,1.4
ZCTA5 10314,8.4,92.3,85.9,7.8,7.7,1.1
ZCTA5 10451,46.1,78.6,55,27.4,21.4,3.5
ZCTA5 10452,52.9,73.5,43.1,33.7,26.5,2.4
ZCTA5 10453,51.1,71.5,41.7,34.9,28.5,2.5
ZCTA5 10454,54.5,63.4,40.8,27.1,36.6,3.7
ZCTA5 10455,54.2,67.5,45.3,24.9,32.5,3.6
ZCTA5 10456,53.5,74.7,46.3,30.7,25.3,2.7
ZCTA5 10457,52.5,75.3,44.1,34.6,24.7,2.7
ZCTA5 10458,47,72.3,47.9,26,27.7,2.9
ZCTA5 10459,53.8,70.3,46.3,26.8,29.7,2.7
ZCTA5 10460,51.9,73.5,51.6,31.5,26.5,2.8
ZCTA5 10461,15.1,85.1,76.8,10.8,14.9,2.3
ZCTA5 10462,24.9,83.5,69.6,17.3,16.5,2.2
ZCTA5 10463,21.5,84.4,72.8,13.7,15.6,2.2
ZCTA5 10464,4.3,88.8,88,2.2,11.2,2.6
ZCTA5 10465,13.2,90.1,82.6,9.3,9.9,2
ZCTA5 10466,26.9,84.4,70.9,15.2,15.6,2
ZCTA5 10467,36.8,76.4,58,22.5,23.6,1.9
ZCTA5 10468,41.6,70,44.7,27.9,30,2.6
ZCTA5 10469,20.6,89.1,78,14.5,10.9,1.9
ZCTA5 10470,13.3,82.5,75.5,9.1,17.5,3.3
ZCTA5 10471,7,92.6,86.3,7.3,7.4,2.3
ZCTA5 10472,41.8,63.7,44.5,23,36.3,2.3
ZCTA5 10473,33.9,86.8,71.8,18.9,13.2,2.5
ZCTA5 10474,47.1,69.5,47.9,28.9,30.5,6.4
ZCTA5 10475,13.5,92.6,84,11.6,7.4,2.5
ZCTA5 10501,0,97.3,97.3,0,2.7,9.4
ZCTA5 10502,0.3,90,89.7,2.8,10,1.6
ZCTA5 10503,0,100,100,0,0,28.5
ZCTA5 10504,0.7,95.9,95.5,1.3,4.1,2.4
ZCTA5 10505,0,93.9,86.4,10.6,6.1,15.5
ZCTA5 10506,1.7,95.7,93.7,3,4.3,2
ZCTA5 10507,5.5,61.6,56.1,6.7,38.4,3.2
ZCTA5 10509,6.1,85.5,83.2,3.6,14.5,2.3
ZCTA5 10510,1.7,95.1,93.7,1.5,4.9,2.4
ZCTA5 10511,1,93.2,87.5,6.5,6.8,2.8
ZCTA5 10512,3.4,91.2,87.5,4.8,8.8,1.7
ZCTA5 10514,0.5,96.3,96.1,1.4,3.7,2
ZCTA5 10516,5.4,88.7,85.4,3.7,11.3,3.1
ZCTA5 10517,0,92,90.4,1.7,8,14.3
ZCTA5 10518,0,93.3,93.3,0,6.7,7.2
ZCTA5 10519,0,100,100,0,0,44.5
ZCTA5 10520,3.6,87.3,85.7,3.8,12.7,1.4
ZCTA5 10522,4.3,91,87.4,4.6,9,0.7
ZCTA5 10523,5.6,78,73.9,5.1,22,3.3
ZCTA5 10524,1.5,95.2,93.5,2.4,4.8,1.6
ZCTA5 10526,1.8,97.7,94.1,3.6,2.3,4.3
ZCTA5 10527,2.8,97.8,97.8,0,2.2,1.6
ZCTA5 10528,2.4,93.9,91.4,3.5,6.1,3.7
ZCTA5 10530,2.1,95,92.9,2.9,5,1.2
ZCTA5 10532,0.6,97.8,97.1,1.4,2.2,1.7
ZCTA5 10533,1.1,95.7,95.7,1,4.3,1.6
ZCTA5 10535,20.8,89,84.9,8.2,11,19.8
ZCTA5 10536,0.2,93.8,92.7,1.2,6.2,1.8
ZCTA5 10537,0,95.2,92.3,2.9,4.8,11.7
ZCTA5 10538,0.5,96.7,95.6,1.7,3.3,1.1
ZCTA5 10541,3.2,89.9,88.6,2.1,10.1,1.5
ZCTA5 10543,4.9,88.2,82.1,6.6,11.8,2.9
ZCTA5 10545,9999999.99,100,0,100,0,9999999.99
ZCTA5 10546,0,97.8,94.3,3.5,2.2,9.4
ZCTA5 10547,6.6,90.6,87.7,5.9,9.4,3.8
ZCTA5 10548,6.2,92.2,89.4,3.4,7.8,3.6
ZCTA5 10549,5.7,78.1,72.2,6.6,21.9,2.8
ZCTA5 10550,28.5,79.2,67.8,14.6,20.8,3.3
ZCTA5 10552,9.3,88,82.5,8.1,12,2.4
ZCTA5 10553,15.1,86.4,80.1,8.6,13.6,3.7
ZCTA5 10560,0.6,96.3,94.7,2.8,3.7,1.8
ZCTA5 10562,4.8,70,64.6,6.3,30,3.4
ZCTA5 10566,14.3,76.7,68.5,10.1,23.3,3.8
ZCTA5 10567,2.4,92.8,90.8,3.9,7.2,1
ZCTA5 10570,0.6,94.9,93.3,1.7,5.1,1
ZCTA5 10573,6.7,67.2,62.7,5.4,32.8,2.1
ZCTA5 10576,0,94.4,94.4,1.2,5.6,1.2
ZCTA5 10577,1.2,94.7,88.2,6.8,5.3,2.4
ZCTA5 10578,0,75.6,75.6,0,24.4,19.5
ZCTA5 10579,1,97.5,97,1.4,2.5,2.1
ZCTA5 12187,14.9,94.8,93.5,1.3,5.2,9.6
ZCTA5 12188,6.5,93.2,91.6,5.7,6.8,3.5
ZCTA5 12189,11.6,87,77.7,11.9,13,4
ZCTA5 12190,6.4,89.1,85.9,3.1,10.9,11.3
ZCTA5 12192,1.3,95.3,95.3,4.6,4.7,7.3
ZCTA5 12193,5.1,98.6,95.5,5.7,1.4,4.7
ZCTA5 12194,11,79.7,79.7,0,20.3,27.1
ZCTA5 12195,14.3,75,75,0,25,37.7
ZCTA5 12196,0,96.7,96.3,1.1,3.3,2.1
ZCTA5 12197,8.8,93,85,10.7,7,5.2
ZCTA5 12198,6.7,95.4,90,6.5,4.6,2.9
ZCTA5 12202,38.2,83.9,65.8,19.1,16.1,8.1
ZCTA5 12203,6.1,90.8,86,5.9,9.2,3
ZCTA5 12204,9.7,92.4,83.4,10.4,7.6,4.5
ZCTA5 12205,7.4,91.5,86.5,7.3,8.5,1.9
ZCTA5 12206,39.5,80.3,62.8,20.6,19.7,5.3
ZCTA5 12207,60,79.6,57.8,24.5,20.4,36.6
ZCTA5 12208,9,93.2,89.1,5.1,6.8,2.6
ZCTA5 12209,15.8,92.5,81.2,13.1,7.5,6.6
ZCTA5 12210,25,83.3,74.3,10.9,16.7,8.7
ZCTA5 12211,2.1,96.5,95.1,4.3,3.5,2
ZCTA5 12222,9999999.99,90.6,72.8,18.3,9.4,9999999.99
ZCTA5 12302,6.3,96.2,91.6,6.2,3.8,1.1
ZCTA5 12303,13.1,91.4,81.1,12,8.6,2.3
ZCTA5 12304,16,85.3,76.8,10.5,14.7,3
ZCTA5 12305,26.2,89,80.6,11.7,11,10.8
ZCTA5 12306,8.1,89.8,85.7,5.3,10.2,1.9
ZCTA5 12307,47,76.3,50.3,29.4,23.7,8.4
ZCTA5 12308,23.4,84.2,76.6,10.8,15.8,5
ZCTA5 12309,3.1,95.5,93.9,3.4,4.5,1.5
ZCTA5 12401,22.2,85.2,71.7,16.1,14.8,2.2
ZCTA5 12404,1.7,90.3,83.2,13.8,9.7,2.5
ZCTA5 12405,0,80.2,75.3,4.9,19.8,16.7
ZCTA5 12406,28.1,82.1,69.6,12.5,17.9,17
ZCTA5 12407,7.5,100,97.4,2.6,0,10.1
ZCTA5 12409,6,92.9,82.2,10.7,7.1,18.1
ZCTA5 12410,3.9,95,92.6,2.4,5,13.3
ZCTA5 12411,10.7,100,100,5.6,0,20.1
ZCTA5 12412,25.3,76.3,76.3,0,23.7,30
ZCTA5 12413,14.7,97.3,88.3,15.7,2.7,12.8
ZCTA5 12414,15.2,87.5,84.3,8,12.5,5.9
ZCTA5 12416,24.1,82.6,26.1,56.5,17.4,100
ZCTA5 12417,18.5,95,89.4,5.9,5,14.5
ZCTA5 12418,4.5,100,84.4,15.6,0,20.6
ZCTA5 12419,45.6,89.2,66.1,23.1,10.8,24.3
ZCTA5 12420,12.1,81.2,81.2,0,18.8,16.3
ZCTA5 12421,0,92.9,92.9,0,7.1,23.7
ZCTA5 12422,5.7,100,100,0,0,39
ZCTA5 12423,15.6,92.6,91.5,6.3,7.4,12.9
ZCTA5 12424,0,89.4,75.3,14.1,10.6,25.5
ZCTA5 12427,0,91.4,79,12.4,8.6,27
ZCTA5 12428,14.8,88,80.3,12.5,12,5.2
ZCTA5 12429,0,100,100,0,0,48.9
ZCTA5 12430,9.8,78.9,67.7,11.5,21.1,7.8
ZCTA5 12431,7.6,78.4,74.8,4.6,21.6,16.3
ZCTA5 12432,10.6,84.2,69.7,14.5,15.8,14.9
ZCTA5 12433,18,87.6,67,20.6,12.4,19.5
ZCTA5 12434,37.7,100,100,17.6,0,13.1
ZCTA5 12435,31.4,100,75.2,24.8,0,9.6
ZCTA5 12436,0,100,100,7.6,0,16.9
ZCTA5 12438,0,100,100,0,0,60.7
ZCTA5 12439,17.6,57.7,52.6,5.2,42.3,26.1
ZCTA5 12440,2.8,73.1,71.1,4.2,26.9,5.2
ZCTA5 12441,0,100,100,0,0,90.1
ZCTA5 12442,22.5,87.4,83.8,4.7,12.6,13.5
ZCTA5 12443,5.7,90.8,81.5,10.1,9.2,5.1
ZCTA5 12444,1.8,85.2,67.8,17.4,14.8,13.8
ZCTA5 12446,13.2,87.1,78.5,11.2,12.9,3.2
ZCTA5 12448,4.1,69.2,69.2,0,30.8,14.7
ZCTA5 12449,17.6,91.4,82,11.6,8.6,9.1
ZCTA5 12450,41,9999999.99,9999999.99,9999999.99,9999999.99,52.9
ZCTA5 12451,9.6,88.4,67.9,20.4,11.6,7.6
ZCTA5 12452,15.2,83,81.3,1.8,17,27.7
ZCTA5 12453,0,68.5,60.9,7.6,31.5,28.2
ZCTA5 12454,4.9,89.9,87.4,9.2,10.1,8.3
ZCTA5 12455,9.8,75.6,69.8,5.7,24.4,4.3
ZCTA5 12456,17.3,92.5,65.4,30.1,7.5,16.4
ZCTA5 12457,19.1,71.8,71.5,0.3,28.2,21.3
ZCTA5 12458,11.8,81.4,77.3,5.3,18.6,6.7
ZCTA5 12459,0,100,48.6,51.4,0,24.1
ZCTA5 12460,5.3,80.7,58.3,22.5,19.3,11.1
ZCTA5 12461,5.8,93.5,87.7,7,6.5,5.3
ZCTA5 12463,5.5,78.8,71.2,11.6,21.2,10.8
ZCTA5 12464,8.2,47.7,45.6,6.4,52.3,11.1
ZCTA5 12465,53.2,71.6,71.6,0,28.4,42.5
ZCTA5 12466,4.9,88.3,81.8,7.2,11.7,4.5
ZCTA5 12468,5.1,78.5,74.8,6,21.5,6.6
ZCTA5 12469,11.3,82.9,73.1,11.9,17.1,3.7
ZCTA5 12470,13.8,95.6,95.6,0,4.4,13.3
ZCTA5 12471,18.1,73.5,61.3,12.2,26.5,24.3
ZCTA5 12472,15.1,66.3,54.2,13.5,33.7,7.2
ZCTA5 12473,0,96.6,93.6,8.3,3.4,17.2
ZCTA5 12474,13.1,92.1,84,10.8,7.9,10.2
ZCTA5 12475,0,83.9,83.9,0,16.1,31.7
ZCTA5 12477,10.3,88.5,81.7,8.8,11.5,2.4
ZCTA5 12480,2.6,92.9,91.6,6.8,7.1,9.6
ZCTA5 12481,4.7,92.3,89.9,8.8,7.7,4.4
ZCTA5 12482,17.3,100,100,0,0,34.5
ZCTA5 12483,0,44,44,0,56,27
ZCTA5 12484,1.2,94.2,87.8,6.3,5.8,3.5
ZCTA5 12485,24.6,90.3,75.5,19.7,9.7,6.1
ZCTA5 12486,2.6,85.9,85.9,1,14.1,6.1
ZCTA5 12487,9.1,91.9,84.2,9.8,8.1,3.6
ZCTA5 12489,18,100,100,0,0,18.5
ZCTA5 12490,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 12491,1.9,84.3,82.7,4.2,15.7,4.7
ZCTA5 12492,3.2,96.8,82.4,16.8,3.2,7.6
ZCTA5 12493,11.8,100,100,0,0,45.6
ZCTA5 12494,5.8,92.2,84.8,7.4,7.8,12.3
ZCTA5 12495,12.9,83,83,0,17,26.3
ZCTA5 12496,8.4,87.1,78.6,9.7,12.9,2.7
ZCTA5 12498,8,84.8,80.3,8.3,15.2,3.3
ZCTA5 12501,11.1,83.3,82.2,1.1,16.7,10.8
ZCTA5 12502,7.5,91.6,86,6.9,8.4,2.9
ZCTA5 12503,9.4,81.4,76.8,9.5,18.6,8.2
ZCTA5 12504,29.4,90,88.9,1.1,10,50
ZCTA5 12507,0,78.9,71.8,11.3,21.1,55.9
ZCTA5 12508,15,88.8,80.8,11.3,11.2,3.3
ZCTA5 12512,0,100,54.7,45.3,0,44
ZCTA5 12513,0,100,100,0,0,16
ZCTA5 12514,2.6,87.6,83,5.1,12.4,2
ZCTA5 12515,17.1,72.5,72.5,0,27.5,4.5
ZCTA5 12516,2.6,90.6,89.8,0.9,9.4,10.9
ZCTA5 12517,3.6,91.7,88.8,5.4,8.3,7.3
ZCTA5 12518,2.3,93.3,91.8,2.6,6.7,2.2
ZCTA5 12520,0.7,91.4,87.8,6.7,8.6,1.1
ZCTA5 12521,6.5,84.3,79.7,6.7,15.7,6.5
ZCTA5 12522,13.7,90.4,87.3,7.8,9.6,4.2
ZCTA5 12523,3.2,75.2,71.6,5.4,24.8,1.6
ZCTA5 12524,4.3,94.4,89.6,7.3,5.6,1.6
ZCTA5 12525,6.6,88,84.2,3.8,12,3.6
ZCTA5 12526,5.2,92,85.4,7.7,8,3.2
ZCTA5 12527,0,100,100,0,0,46.8
ZCTA5 12528,9.5,92.1,86.9,7.4,7.9,4.1
ZCTA5 12529,2.7,81.9,72.7,10,18.1,3.2
ZCTA5 12530,90.2,9999999.99,9999999.99,9999999.99,9999999.99,100
ZCTA5 12531,2.7,86.8,85.8,1.5,13.2,1.4
ZCTA5 12533,5.1,94.5,92.3,3.3,5.5,1.6
ZCTA5 12534,15.8,88.8,77.6,13,11.2,3.3
ZCTA5 12538,9.7,89.4,87.4,3,10.6,2.8
ZCTA5 12540,3.4,95.1,92,5.7,4.9,2.1
ZCTA5 12542,10.8,85.9,80.3,8.8,14.1,4.2
ZCTA5 12543,14.9,86.1,80.7,6.6,13.9,4.7
ZCTA5 12545,2.7,88.5,81.9,7.5,11.5,4.9
ZCTA5 12546,6.4,70.2,64.9,5.7,29.8,2.4
ZCTA5 12547,7,88.3,86.1,2.7,11.7,3.7
ZCTA5 12548,14.3,80.4,78.2,3.5,19.6,15.3
ZCTA5 12549,6.1,95.1,93,5.3,4.9,2.3
ZCTA5 12550,17.4,77.4,71.1,8.5,22.6,2.1
ZCTA5 12553,6.1,88.6,82.8,7.7,11.4,1.6
ZCTA5 12561,6,90.4,81,10.2,9.6,2.4
ZCTA5 12563,6.6,89.2,88.4,4.6,10.8,3.1
ZCTA5 12564,5.6,86.8,83,6.5,13.2,2.3
ZCTA5 12565,21.6,88.2,74.6,14.3,11.8,7.5
ZCTA5 12566,8.9,90.2,89.4,2.2,9.8,2.9
ZCTA5 12567,10.5,88.7,82.9,9.5,11.3,3.5
ZCTA5 12569,9.9,91.9,86.8,6.7,8.1,2.5
ZCTA5 12570,3.5,94.2,93.3,4.6,5.8,2.2
ZCTA5 12571,5.3,94.1,89.9,5.8,5.9,1.6
ZCTA5 12572,4.4,89.8,88.6,1.9,10.2,1.8
ZCTA5 12574,0,90.8,90.2,0.6,9.2,27.7
ZCTA5 12575,2.1,93.4,93.4,3.3,6.6,4
ZCTA5 12577,3.3,95.4,92.2,3.2,4.6,8
ZCTA5 12578,3.2,91,87.9,9.4,9,3.3
ZCTA5 12580,6.4,89.6,85.9,4.3,10.4,4.2
ZCTA5 12581,2.2,89.6,83.3,9.8,10.4,3.3
ZCTA5 12582,1.3,99,96.8,2.9,1,2.3
ZCTA5 12583,5.2,84.4,78.6,7.8,15.6,3
ZCTA5 12585,0,96.1,96.1,2.3,3.9,12.5
ZCTA5 12586,9.7,87.9,83.7,8.3,12.1,4.2
ZCTA5 12589,7.8,81.3,77.8,5.4,18.7,2.8
ZCTA5 12590,6.1,88.1,85.2,5.3,11.9,1.3
ZCTA5 12592,14.5,69.1,54.6,20.5,30.9,8.5
ZCTA5 12594,4.1,85.1,82,5.9,14.9,5.8
ZCTA5 12601,21.8,80.9,70.8,12.1,19.1,2.6
ZCTA5 12603,7.9,91.2,86.5,6.5,8.8,1.7
ZCTA5 12604,0,95,92.4,2.7,5,9999999.99
ZCTA5 12701,26.3,73,53.6,21.3,27,7.9
ZCTA5 12719,9.9,90.1,83.9,7.1,9.9,8.8
ZCTA5 12720,0,100,100,9,0,73.6
ZCTA5 12721,11.6,84.9,81.7,5.6,15.1,2.9
ZCTA5 12722,47.3,100,100,0,0,32
ZCTA5 12723,4.1,90.3,83.7,9.2,9.7,3.6
ZCTA5 12724,0,69.5,69.5,0,30.5,22.4
ZCTA5 12725,18.7,81.3,81.3,0,18.8,10.1
ZCTA5 12726,4.7,88.9,84.9,5.7,11.1,6.3
ZCTA5 12729,16.2,82.8,72,11.6,17.2,15.7
ZCTA5 12732,7.5,56.4,53.6,8.5,43.6,5.8
ZCTA5 12733,23.8,95.9,66.6,36.1,4.1,23.7
ZCTA5 12734,11.6,77.5,72.5,6.7,22.5,6.6
ZCTA5 12736,19.8,76.7,69.8,7,23.3,20.7
ZCTA5 12737,6.1,90.4,88.9,1.5,9.6,6.5
ZCTA5 12738,3.9,100,85.1,14.9,0,17.9
ZCTA5 12740,9.1,93.2,82.7,13.1,6.8,7
ZCTA5 12741,10.7,83.9,81.3,2.7,16.1,33.9
ZCTA5 12742,32.7,65.3,65.3,12.5,34.7,40
ZCTA5 12743,0,85.2,85.2,4.6,14.8,38.4
ZCTA5 12745,0,100,89,11,0,42.5
ZCTA5 12746,7.8,77.9,76.5,1.3,22.1,8.3
ZCTA5 12747,27.5,61,54.2,6.8,39,17
ZCTA5 12748,9.3,68.6,54.8,14,31.4,10.5
ZCTA5 12749,0,87.9,87.9,0,12.1,38.4
ZCTA5 12750,15.9,85.5,26.1,59.4,14.5,52.9
ZCTA5 12751,36.1,98.2,42.2,56,1.8,17.7
ZCTA5 12752,2.6,78.2,78.2,0,21.8,45.6
ZCTA5 12754,21.3,74.9,62.6,13.7,25.1,6.7
ZCTA5 12758,12.1,90.6,82.7,8.3,9.4,7.8
ZCTA5 12759,27.1,79.5,74.3,10.6,20.5,13.3
ZCTA5 12760,6.8,82,77.5,18.9,18,18.5
ZCTA5 12762,10.5,94.7,94.7,0,5.3,16.1
ZCTA5 12763,6.4,87.7,83.8,6.7,12.3,4.1
ZCTA5 12764,8.9,85.3,82.4,8,14.7,4.1
ZCTA5 12765,9.5,100,98.3,11,0,10.4
ZCTA5 12766,7,95.4,91.7,8.7,4.6,16.8
ZCTA5 12767,21.6,100,100,0,0,58.2
ZCTA5 12768,7.8,88.6,78.5,13.2,11.4,6
ZCTA5 12769,0,73.3,73.3,0,26.7,52.9
ZCTA5 12770,0,64.8,64.8,0,35.2,30.6
ZCTA5 12771,18.1,83,75.5,11,17,2.9
ZCTA5 12775,4,88.6,86.1,3.3,11.4,3.2
ZCTA5 12776,4.9,83.5,75,13.4,16.5,3.9
ZCTA5 12777,5.1,93.1,88.3,7.7,6.9,14.6
ZCTA5 12778,11.5,48.8,48.8,0,51.2,49.3
ZCTA5 12779,38.1,57.2,27.5,33.8,42.8,11.7
ZCTA5 12780,10.1,91.5,84.6,13.1,8.5,10.5
ZCTA5 12781,0,100,100,0,0,34.8
ZCTA5 12783,5.6,90.4,76.7,17.6,9.6,4.5
ZCTA5 12784,0,0,0,0,100,85.9
ZCTA5 12785,16.8,75.2,73.4,1.8,24.8,4.8
ZCTA5 12786,0,18.9,18.9,0,81.1,38.1
ZCTA5 12787,6.8,94.4,75.1,19.2,5.6,15.7
ZCTA5 12788,19.8,73.3,57.8,15.5,26.7,7.9
ZCTA5 12789,13.9,87.8,68.9,19.4,12.2,7
ZCTA5 12790,8.9,84.3,78.4,7.8,15.7,4.6
ZCTA5 12791,25.2,81.5,77.8,12.5,18.5,31.1
ZCTA5 12792,0,95.6,63.3,32.2,4.4,28.2
ZCTA5 12801,18.8,85.5,77.3,10.7,14.5,3.5
ZCTA5 12803,12.2,92.7,88.1,8.2,7.3,2.2
ZCTA5 12804,8.3,92.5,86.8,7.9,7.5,2
ZCTA5 12808,2.4,92.6,75.6,20.7,7.4,17.4
ZCTA5 12809,6.4,92.7,90.3,4.2,7.3,4.2
ZCTA5 12810,17.3,91.6,84.5,8.4,8.4,5
ZCTA5 12811,31.6,80.6,80.6,0,19.4,62.2
ZCTA5 12812,0,35.2,35.2,0,64.8,48.2
ZCTA5 12814,7.6,82.5,75.3,7.1,17.5,2.6
ZCTA5 12815,17,89.6,61.6,27.9,10.4,7.8
ZCTA5 12816,12.5,90.2,84.1,10.6,9.8,3.1
ZCTA5 12817,5.9,84,76.7,10.8,16,6.9
ZCTA5 12819,7.2,74.8,68,8.7,25.2,5.8
ZCTA5 12821,25.8,64.7,64.7,8.2,35.3,18.7
ZCTA5 12822,15.8,92,80.7,13,8,4.2
ZCTA5 12823,18.3,100,100,0,0,40.8
ZCTA5 12824,6.1,83.8,81.8,2.9,16.2,2.4
ZCTA5 12827,5.7,91.5,88.1,6.9,8.5,3.1
ZCTA5 12828,11.7,90.6,83.3,10.7,9.4,4.2
ZCTA5 12831,4.1,95.1,90.3,6.6,4.9,2.2
ZCTA5 12832,17.6,86.7,80.9,8.5,13.3,4.1
ZCTA5 12833,8.1,91.7,88.6,3.5,8.3,6.3
ZCTA5 12834,6.7,86.6,82,6.7,13.4,1.6
ZCTA5 12835,6.4,87.6,76.9,11.4,12.4,3.7
ZCTA5 12836,9.9,82.6,71.6,12.5,17.4,5.5
ZCTA5 12837,15.1,86.6,79.7,10,13.4,5
ZCTA5 12838,5.9,96.5,95.3,1.2,3.5,13.5
ZCTA5 12839,22.4,81.1,73.1,12.7,18.9,4.8
ZCTA5 12841,0,73.7,73.7,0,26.3,60.7
ZCTA5 12842,12.8,81.8,79.6,2.2,18.2,4.6
ZCTA5 12843,10.2,67.8,67.8,6.7,32.2,14.2
ZCTA5 12844,0,95.7,95.7,0,4.3,36
ZCTA5 12845,7,81.3,75.7,6.3,18.7,4
ZCTA5 12846,8.9,88.2,82.2,9.2,11.8,4.3
ZCTA5 12847,0,54.3,52.3,2,45.7,31.1
ZCTA5 12849,0,92.4,76.8,15.5,7.6,21
ZCTA5 12850,3.1,94.1,90.8,3.7,5.9,2.4
ZCTA5 12851,5,81.3,79.7,6.3,18.8,8
ZCTA5 12852,4.8,93.4,89.8,5.4,6.6,2.9
ZCTA5 12853,15.8,90.1,84.2,10.1,9.9,13
ZCTA5 12855,12.8,85.3,72,18.7,14.7,44.5
ZCTA5 12856,0,100,100,0,0,60.7
ZCTA5 12857,3.7,95.5,74.4,21,4.5,9.3
ZCTA5 12858,0,100,100,0,0,21.7
ZCTA5 12859,5.8,98.4,96,3.7,1.6,7.2
ZCTA5 12860,12.2,98,87.3,10.8,2,24.7
ZCTA5 12861,3.6,90.7,84.6,6.1,9.3,2.3
ZCTA5 12862,0,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 12863,6.1,88.4,88.4,0,11.6,13.5
ZCTA5 12864,0,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 12865,10.1,86.2,79.3,10.2,13.8,4.8
ZCTA5 12866,8.2,91.9,87.7,6,8.1,1.5
ZCTA5 12870,11.2,69.1,57.5,13.8,30.9,4.6
ZCTA5 12871,8.4,93.3,88.1,7,6.7,1.7
ZCTA5 12872,0,100,100,0,0,29.5
ZCTA5 12873,12.5,78.6,78.6,0.9,21.4,10.4
ZCTA5 12874,0,100,100,0,0,37.4
ZCTA5 12878,16,81.1,80.5,6.8,18.9,6
ZCTA5 12883,10.3,83.3,78.8,7.4,16.7,6.1
ZCTA5 12884,15.6,86.3,82.9,3.4,13.7,4.3
ZCTA5 12885,16.5,86.8,76.5,17.1,13.2,5
ZCTA5 12886,4.9,96.4,96.4,0,3.6,13.5
ZCTA5 12887,20.3,85,73.1,14.4,15,4.8
ZCTA5 12901,19.8,88.9,80.2,11.6,11.1,2.4
ZCTA5 12903,1.7,98.4,95.8,4.7,1.6,3.3
ZCTA5 12910,18.9,92.1,85,9.4,7.9,5.6
ZCTA5 12911,0,100,100,0,0,76.1
ZCTA5 12912,17.2,73.4,70.8,4.8,26.6,3.3
ZCTA5 12913,11.2,95.7,85.8,10.4,4.3,5.3
ZCTA5 12914,12,77.2,70.8,8.8,22.8,7.1
ZCTA5 12916,18.9,86,74.1,14.5,14,5.6
ZCTA5 12917,8.5,85.8,80.7,7.9,14.2,4
ZCTA5 12918,7.5,91.5,82.6,11.3,8.5,4.4
ZCTA5 12919,20.4,97.6,90.8,14.4,2.4,5.6
ZCTA5 12920,21.1,88.3,75.2,14.3,11.7,5.1
ZCTA5 12921,9.5,93.6,87.2,10.7,6.4,4.2
ZCTA5 12922,0,100,75,25,0,100
ZCTA5 12923,21.2,88.5,80.2,12.6,11.5,8.2
ZCTA5 12924,0,61.5,61.5,0,38.5,69.1
ZCTA5 12926,12.5,85.4,80.9,9.6,14.6,4.2
ZCTA5 12927,3.7,82,82,0,18,4
ZCTA5 12928,14.5,90.5,79.6,13.7,9.5,2.6
ZCTA5 12929,22,98.3,90.7,9.3,1.7,10.4
ZCTA5 12930,17.5,88.4,77.1,15.6,11.6,7
ZCTA5 12932,9.5,91,84.7,10.6,9,6
ZCTA5 12933,0,100,100,0,0,100
ZCTA5 12934,25.8,93.7,83,18,6.3,9.8
ZCTA5 12935,25.4,89.5,76.5,15.6,10.5,9.3
ZCTA5 12936,9.5,81.5,69.7,15.4,18.5,4.6
ZCTA5 12937,18.8,80.5,72.9,11.7,19.5,7.8
ZCTA5 12939,0,98.6,94.2,4.3,1.4,9.8
ZCTA5 12941,7.6,94.8,84.8,18.8,5.2,4.1
ZCTA5 12942,9,85.8,73.3,12.5,14.2,11.5
ZCTA5 12943,0,85.9,80.8,14.1,14.1,38.8
ZCTA5 12944,22.3,90,81.3,10.6,10,3.3
ZCTA5 12945,0,98.7,98.7,0,1.3,18.8
ZCTA5 12946,13,86.1,81.2,6.5,13.9,3.4
ZCTA5 12950,11.1,82.6,73.3,10,17.4,9.4
ZCTA5 12952,22.4,100,84,16,0,16
ZCTA5 12953,21.1,90,81.4,10.9,10,4.8
ZCTA5 12955,15,90.6,85,9.4,9.4,10.6
ZCTA5 12956,31.5,100,69.7,30.3,0,6.3
ZCTA5 12957,21.4,79.9,64.2,15.7,20.1,15.3
ZCTA5 12958,34.6,92.5,69.9,30.7,7.5,21.2
ZCTA5 12959,17.3,100,94.7,5.3,0,8.9
ZCTA5 12960,15.1,94.4,81.2,16.2,5.6,5.9
